latency-s,latency-ms
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.028,28
0.028,28
0.029,29
0.029,29
0.029,29
0.028,28
0.029,29
0.029,29
0.029,29
0.028,28
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.028,28
0.029,29
0.03,30
0.028,28
0.037,37
0.029,29
0.03,30
0.027,27
0.029,29
0.029,29
0.029,29
0.029,29
0.028,28
0.029,29
0.028,28
0.029,29
0.029,29
0.029,29
0.031,31
0.046,46
0.036,36
0.029,29
0.037,37
0.029,29
0.044,44
0.032,32
0.037,37
0.031,31
0.028,28
0.041,41
0.034,34
0.032,32
0.029,29
0.029,29
0.027,27
0.029,29
0.037,37
0.033,33
0.029,29
0.029,29
0.028,28
0.029,29
0.029,29
0.029,29
0.029,29
0.03,30
0.029,29
0.029,29
0.033,33
0.033,33
0.029,29
0.029,29
0.029,29
0.029,29
0.028,28
0.029,29
0.028,28
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.03,30
0.029,29
0.029,29
0.029,29
0.029,29
0.03,30
0.028,28
0.029,29
0.029,29
0.029,29
0.03,30
0.029,29
0.03,30
0.029,29
0.028,28
0.029,29
0.029,29
0.03,30
0.029,29
0.029,29
0.029,29
0.029,29
0.028,28
0.029,29
0.049,49
0.037,37
0.028,28
0.034,34
0.029,29
0.044,44
0.029,29
0.035,35
0.03,30
0.057,57
0.043,43
0.029,29
0.038,38
0.032,32
0.031,31
0.044,44
0.034,34
0.033,33
0.029,29
0.029,29
0.028,28
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.03,30
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.029,29
0.028,28
0.029,29
0.028,28
0.029,29
0.029,29
0.028,28
0.029,29
0.029,29
0.03,30
0.029,29
0.029,29
0.028,28
0.03,30
0.028,28
0.028,28
0.028,28
0.028,28
0.027,27
0.028,28
0.028,28
0.028,28
0.028,28
0.029,29
0.027,27
0.028,28
0.028,28
0.028,28
0.028,28
0.028,28
0.028,28
0.027,27
0.028,28
0.027,27
0.027,27
0.028,28
0.028,28
0.031,31
0.049,49
0.033,33
0.036,36
0.034,34
0.029,29
0.044,44
0.033,33
0.029,29
0.03,30
0.031,31
0.028,28
0.042,42
0.028,28
0.031,31
0.028,28
0.028,28
0.027,27
0.027,27
0.028,28
0.028,28
0.028,28
0.028,28
0.026,26
0.027,27
0.028,28
0.028,28
0.028,28
0.028,28
0.038,38
0.029,29
0.027,27
0.028,28
0.028,28
0.027,27
0.028,28
0.028,28
0.027,27
0.028,28
0.027,27
0.03,30
0.028,28
0.028,28
0.027,27
0.028,28
0.028,28
0.028,28
0.029,29
0.027,27
0.028,28
0.028,28
0.027,27
0.03,30
0.028,28
0.026,26
0.029,29
0.029,29
0.028,28
0.028,28
0.028,28
0.028,28
0.028,28
0.028,28
0.027,27
0.028,28
0.028,28
0.028,28
0.028,28
0.028,28
0.028,28
0.027,27
0.03,30
0.047,47
0.03,30
0.027,27
0.034,34
0.045,45
0.031,31
0.034,34
0.032,32
0.028,28
0.041,41
0.027,27
0.034,34
0.035,35
0.032,32
0.049,49
0.03,30
0.028,28
0.028,28
0.028,28
0.028,28
0.028,28
0.029,29
0.028,28
0.028,28
0.027,27
0.028,28
0.03,30
0.028,28
0.028,28
0.026,26
0.028,28
0.027,27
0.028,28
